"Name","API Name","Instance Memory","vCPUs","Instance Storage","Network Performance","On Demand","Linux Reserved cost","Linux Spot Minimum cost","Windows On Demand cost","Windows Reserved cost"
"M4 General Purpose Deca Extra Large","m4.10xlarge","160.0 GiB","40 vCPUs","EBS only","10 Gigabit","$2.1000 hourly","$1.3087 hourly","$0.7358 hourly","$3.9400 hourly","$3.1487 hourly"
"R7GD 12xlarge","r7gd.12xlarge","384.0 GiB","48 vCPUs","2850 GB                 (2 * 1425 GB NVMe SSD)","22.5 Gigabit","$2.1120 hourly","$1.3306 hourly","$0.6407 hourly","unavailable","unavailable"
"C7I 12xlarge","c7i.12xlarge","96.0 GiB","48 vCPUs","EBS only","18.75 Gigabit","$2.1420 hourly","$1.4183 hourly","$0.6978 hourly","$4.3500 hourly","$3.6263 hourly"
"M5AD 16xlarge","m5ad.16xlarge","256.0 GiB","64 vCPUs","2400 GB                 (4 * 600 GB NVMe SSD)","12 Gigabit","$2.1470 hourly","$1.3530 hourly","$0.6921 hourly","$5.0910 hourly","$4.2970 hourly"
"R7I Eight Extra Large","r7i.8xlarge","256.0 GiB","32 vCPUs","EBS only","12.5 Gigabit","$2.1840 hourly","$1.4354 hourly","$0.7288 hourly","$3.6560 hourly","$2.9074 hourly"
"R4 High-Memory Eight Extra Large","r4.8xlarge","244.0 GiB","32 vCPUs","EBS only","10 Gigabit","$2.1920 hourly","$1.3779 hourly","$0.7602 hourly","$3.6640 hourly","$2.8499 hourly"
"C6A 24xlarge","c6a.24xlarge","192.0 GiB","96 vCPUs","EBS only","37.5 Gigabit","$2.2440 hourly","$1.4858 hourly","$0.7661 hourly","$6.6600 hourly","$5.9018 hourly"
"C5A 24xlarge","c5a.24xlarge","192.0 GiB","96 vCPUs","EBS only","20 Gigabit","$2.2560 hourly","$1.4210 hourly","$0.8540 hourly","$6.6720 hourly","$5.8370 hourly"
"M7GD Metal","m7gd.metal","256.0 GiB","64 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","30 Gigabit","$2.2720 hourly","$1.4314 hourly","$0.5396 hourly","unavailable","unavailable"
"M7GD 16xlarge","m7gd.16xlarge","256.0 GiB","64 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","30 Gigabit","$2.2720 hourly","$1.4314 hourly","$0.7530 hourly","unavailable","unavailable"
"R5A 16xlarge","r5a.16xlarge","512.0 GiB","64 vCPUs","EBS only","12 Gigabit","$2.2880 hourly","$1.4340 hourly","$0.7865 hourly","$5.2320 hourly","$4.3780 hourly"
"R6A 16xlarge","r6a.16xlarge","512.0 GiB","64 vCPUs","EBS only","25 Gigabit","$2.2880 hourly","$1.5037 hourly","$0.7876 hourly","$5.2320 hourly","$4.4477 hourly"
"Z1D 6xlarge","z1d.6xlarge","192.0 GiB","24 vCPUs","900 GB                 NVMe SSD","12 Gigabit","$2.3520 hourly","$1.4820 hourly","$0.7816 hourly","$3.4560 hourly","$2.5860 hourly"
"C5 High-CPU 12xlarge","c5d.12xlarge","96.0 GiB","48 vCPUs","1800 GB                 (2 * 900 GB NVMe SSD)","12 Gigabit","$2.3760 hourly","$1.4970 hourly","$0.8506 hourly","$4.5840 hourly","$3.7050 hourly"
"R6GD 16xlarge","r6gd.16xlarge","512.0 GiB","64 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","25 Gigabit","$2.3917 hourly","$1.5068 hourly","$0.7080 hourly","unavailable","unavailable"
"R6GD Metal","r6gd.metal","512.0 GiB","64 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","25 Gigabit","$2.3917 hourly","$1.5068 hourly","$0.7585 hourly","unavailable","unavailable"
"G4DN Eight Extra Large","g4dn.8xlarge","128.0 GiB","32 vCPUs","900 GB                 NVMe SSD","50 Gigabit","$2.3950 hourly","$1.5090 hourly","$0.7874 hourly","$3.8670 hourly","$2.9810 hourly"
"R7G Metal","r7g.metal","512.0 GiB","64 vCPUs","EBS only","30 Gigabit","$2.4026 hourly","$1.5790 hourly","$0.7115 hourly","unavailable","unavailable"
"R7G 16xlarge","r7g.16xlarge","512.0 GiB","64 vCPUs","EBS only","30 Gigabit","$2.4026 hourly","$1.5790 hourly","$0.7252 hourly","unavailable","unavailable"
"R5D Eight Extra Large","r5d.8xlarge","256.0 GiB","32 vCPUs","1200 GB                 (2 * 600 GB NVMe SSD)","10 Gigabit","$2.4160 hourly","$1.5220 hourly","$0.9492 hourly","$3.8880 hourly","$2.9940 hourly"
"M5 General Purpose 12xlarge","m5.12xlarge","192.0 GiB","48 vCPUs","EBS only","12 Gigabit","$2.4240 hourly","$1.5270 hourly","$0.8722 hourly","$4.6320 hourly","$3.7350 hourly"
"M6I 12xlarge","m6i.12xlarge","192.0 GiB","48 vCPUs","EBS only","18.75 Gigabit","$2.4240 hourly","$1.6008 hourly","$0.8679 hourly","$4.6320 hourly","$3.8088 hourly"
"R5N Eight Extra Large","r5n.8xlarge","256.0 GiB","32 vCPUs","EBS only","25 Gigabit","$2.4480 hourly","$1.5420 hourly","$0.9144 hourly","$3.9200 hourly","$3.0140 hourly"
"R6ID Eight Extra Large","r6id.8xlarge","256.0 GiB","32 vCPUs","1900 GB                 NVMe SSD","12.5 Gigabit","$2.5376 hourly","$1.5987 hourly","$0.8166 hourly","$4.0096 hourly","$3.0707 hourly"
"M7I 12xlarge","m7i.12xlarge","192.0 GiB","48 vCPUs","EBS only","18.75 Gigabit","$2.5452 hourly","$1.6809 hourly","$0.8955 hourly","$4.7532 hourly","$3.8889 hourly"
"INF2 Eight Extra Large","inf2.8xlarge","128.0 GiB","32 vCPUs","EBS only","Up to 25 Gigabit","$2.5582 hourly","$1.6117 hourly","$0.9761 hourly","unavailable","unavailable"
"IS4GEN Quadruple Extra Large","is4gen.4xlarge","96.0 GiB","16 vCPUs","15000 GB                 (2 * 7500 GB NVMe SSD)","25 Gigabit","$2.6200 hourly","$1.7892 hourly","unavailable","unavailable","unavailable"
"R5AD 16xlarge","r5ad.16xlarge","512.0 GiB","64 vCPUs","2400 GB                 (4 * 600 GB NVMe SSD)","12 Gigabit","$2.6580 hourly","$1.6740 hourly","$0.8384 hourly","$5.6020 hourly","$4.6180 hourly"
"M5A 24xlarge","m5a.24xlarge","384.0 GiB","96 vCPUs","EBS only","20 Gigabit","$2.6660 hourly","$1.6800 hourly","$0.8853 hourly","$7.0820 hourly","$6.0960 hourly"
"M6A 24xlarge","m6a.24xlarge","384.0 GiB","96 vCPUs","EBS only","37.5 Gigabit","$2.6664 hourly","$1.7609 hourly","$0.8837 hourly","$7.0824 hourly","$6.1769 hourly"
"C6I 16xlarge","c6i.16xlarge","128.0 GiB","64 vCPUs","EBS only","25 Gigabit","$2.7200 hourly","$1.8010 hourly","$0.8654 hourly","$5.6640 hourly","$4.7450 hourly"
"C6IN 12xlarge","c6in.12xlarge","96.0 GiB","48 vCPUs","EBS only","75 Gigabit","$2.7216 hourly","$1.7146 hourly","$0.8659 hourly","$4.9296 hourly","$3.9226 hourly"
"C6GN 16xlarge","c6gn.16xlarge","128.0 GiB","64 vCPUs","EBS only","100 Gigabit","$2.7680 hourly","$1.7473 hourly","$0.8731 hourly","unavailable","unavailable"
"R7GD Metal","r7gd.metal","512.0 GiB","64 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","30 Gigabit","$2.8160 hourly","$1.7741 hourly","$0.7630 hourly","unavailable","unavailable"
"R7GD 16xlarge","r7gd.16xlarge","512.0 GiB","64 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","30 Gigabit","$2.8160 hourly","$1.7741 hourly","$0.8382 hourly","unavailable","unavailable"
"I3 High I/O Eight Extra Large","i3.8xlarge","244.0 GiB","32 vCPUs","7600 GB                 (4 * 1900 GB NVMe SSD)","10 Gigabit","$2.8320 hourly","$1.9490 hourly","$0.8392 hourly","$4.3040 hourly","$3.4210 hourly"
"C7I 16xlarge","c7i.16xlarge","128.0 GiB","64 vCPUs","EBS only","25 Gigabit","$2.8560 hourly","$1.8910 hourly","$0.9123 hourly","$5.8000 hourly","$4.8350 hourly"
"M5 General Purpose 12xlarge","m5d.12xlarge","192.0 GiB","48 vCPUs","1800 GB                 (2 * 900 GB NVMe SSD)","12 Gigabit","$2.9280 hourly","$1.8450 hourly","$1.1558 hourly","$5.1360 hourly","$4.0530 hourly"
"G5 Graphics and Machine Learning GPU Eight Extra Large","g5.8xlarge","128.0 GiB","32 vCPUs","900 GB                 NVMe SSD","25 Gigabit","$2.9396 hourly","$1.8519 hourly","$1.0855 hourly","$4.4116 hourly","$3.3239 hourly"
"C6A 32xlarge","c6a.32xlarge","256.0 GiB","128 vCPUs","EBS only","50 Gigabit","$2.9920 hourly","$1.9811 hourly","$0.9292 hourly","$8.8800 hourly","$7.8691 hourly"
"R3 High-Memory Eight Extra Large","r3.8xlarge","244.0 GiB","32 vCPUs","640 GB                 (2 * 320 GB SSD)","10 Gigabit","$3.0320 hourly","$2.3100 hourly","$1.1533 hourly","$4.5040 hourly","$3.7820 hourly"
"C5 High-CPU 18xlarge","c5.18xlarge","144.0 GiB","72 vCPUs","EBS only","25 Gigabit","$3.0600 hourly","$1.9280 hourly","$0.9733 hourly","$6.3720 hourly","$5.2400 hourly"
"M6ID 12xlarge","m6id.12xlarge","192.0 GiB","48 vCPUs","2850 GB                 (2 * 1425 GB NVMe SSD)","18.75 Gigabit","$3.0744 hourly","$1.9369 hourly","$0.8802 hourly","$5.2824 hourly","$4.1449 hourly"
"I3EN 6xlarge","i3en.6xlarge","192.0 GiB","24 vCPUs","15000 GB                 (2 * 7500 GB NVMe SSD)","25 Gigabit","$3.0840 hourly","$2.1050 hourly","$0.8125 hourly","$4.1880 hourly","$3.2090 hourly"
"I4I Eight Extra Large","i4i.8xlarge","256.0 GiB","32 vCPUs","7500 GB                 (2 * 3750 GB NVMe SSD)","18.75 Gigabit","$3.1150 hourly","$2.0290 hourly","$0.9042 hourly","$4.5870 hourly","$3.5010 hourly"
"R5 12xlarge","r5.12xlarge","384.0 GiB","48 vCPUs","EBS only","12 Gigabit","$3.1200 hourly","$1.9560 hourly","$1.0685 hourly","$5.3280 hourly","$4.1640 hourly"
"R6I 12xlarge","r6i.12xlarge","384.0 GiB","48 vCPUs","EBS only","18.75 Gigabit","$3.1200 hourly","$2.0507 hourly","$1.0531 hourly","$5.3280 hourly","$4.2587 hourly"
"M5AD 24xlarge","m5ad.24xlarge","384.0 GiB","96 vCPUs","3600 GB                 (4 * 900 GB NVMe SSD)","20 Gigabit","$3.2210 hourly","$2.0290 hourly","$1.0319 hourly","$7.6370 hourly","$6.4450 hourly"
"M6I 16xlarge","m6i.16xlarge","256.0 GiB","64 vCPUs","EBS only","25 Gigabit","$3.2320 hourly","$2.1344 hourly","$1.1170 hourly","$6.1760 hourly","$5.0784 hourly"
"M5 General Purpose 16xlarge","m5.16xlarge","256.0 GiB","64 vCPUs","EBS only","20 Gigabit","$3.2320 hourly","$2.0360 hourly","$1.0406 hourly","$6.1760 hourly","$4.9800 hourly"
"R7I 12xlarge","r7i.12xlarge","384.0 GiB","48 vCPUs","EBS only","18.75 Gigabit","$3.2760 hourly","$2.1532 hourly","$1.1218 hourly","$5.4840 hourly","$4.3612 hourly"
"D2 Quadruple Extra Large","d2.4xlarge","122.0 GiB","16 vCPUs","24576 GB                 (12 * 2048 GB HDD)","High","$3.3060 hourly","$1.9490 hourly","$1.1632 hourly","$4.0420 hourly","$2.6850 hourly"
"M4 General Purpose 16xlarge","m4.16xlarge","256.0 GiB","64 vCPUs","EBS only","25 Gigabit","$3.3600 hourly","$2.0939 hourly","$1.0956 hourly","$6.3040 hourly","$5.0379 hourly"
"M7I 16xlarge","m7i.16xlarge","256.0 GiB","64 vCPUs","EBS only","25 Gigabit","$3.3936 hourly","$2.2412 hourly","$1.1065 hourly","$6.3376 hourly","$5.1852 hourly"
"R5A 24xlarge","r5a.24xlarge","768.0 GiB","96 vCPUs","EBS only","20 Gigabit","$3.4320 hourly","$2.1510 hourly","$1.1020 hourly","$7.8480 hourly","$6.5670 hourly"
"R6A 24xlarge","r6a.24xlarge","768.0 GiB","96 vCPUs","EBS only","37.5 Gigabit","$3.4320 hourly","$2.2555 hourly","$1.1180 hourly","$7.8480 hourly","$6.6715 hourly"
"X1E Quadruple Extra Large","x1e.4xlarge","488.0 GiB","16 vCPUs","480 GB                 SSD","Up to 10 Gigabit","$3.4400 hourly","$2.1040 hourly","$0.9290 hourly","$4.1760 hourly","$2.8400 hourly"
"X2IEDN Quadruple Extra Large","x2iedn.4xlarge","512.0 GiB","16 vCPUs","475 GB                 NVMe SSD","Up to 25 Gigabit","$3.4405 hourly","$2.1169 hourly","$0.7024 hourly","$4.1765 hourly","$2.8529 hourly"
"M6A 32xlarge","m6a.32xlarge","512.0 GiB","128 vCPUs","EBS only","50 Gigabit","$3.5552 hourly","$2.3479 hourly","$1.1430 hourly","$9.4432 hourly","$8.2359 hourly"
"C5 High-CPU 18xlarge","c5d.18xlarge","144.0 GiB","72 vCPUs","1800 GB                 (2 * 900 GB NVMe SSD)","25 Gigabit","$3.5640 hourly","$2.2450 hourly","$1.1627 hourly","$6.8760 hourly","$5.5570 hourly"
"R5D 12xlarge","r5d.12xlarge","384.0 GiB","48 vCPUs","1800 GB                 (2 * 900 GB NVMe SSD)","12 Gigabit","$3.6240 hourly","$2.2830 hourly","$1.3256 hourly","$5.8320 hourly","$4.4910 hourly"
"C6IN 16xlarge","c6in.16xlarge","128.0 GiB","64 vCPUs","EBS only","100 Gigabit","$3.6288 hourly","$2.2861 hourly","$1.1597 hourly","$6.5728 hourly","$5.2301 hourly"
"R5N 12xlarge","r5n.12xlarge","384.0 GiB","48 vCPUs","EBS only","50 Gigabit","$3.6720 hourly","$2.3130 hourly","$1.1549 hourly","$5.8800 hourly","$4.5210 hourly"
"R6ID 12xlarge","r6id.12xlarge","384.0 GiB","48 vCPUs","2850 GB                 (2 * 1425 GB NVMe SSD)","18.75 Gigabit","$3.8064 hourly","$2.3980 hourly","$1.2363 hourly","$6.0144 hourly","$4.6060 hourly"
"I2 Quadruple Extra Large","i2.4xlarge","122.0 GiB","16 vCPUs","3200 GB                 (4 * 800 GB SSD)","High","$3.8670 hourly","$2.3240 hourly","unavailable","$4.6030 hourly","$3.0600 hourly"
"C5N 18xlarge","c5n.18xlarge","192.0 GiB","72 vCPUs","EBS only","100 Gigabit","$3.8880 hourly","$2.4490 hourly","$1.3043 hourly","$7.2000 hourly","$5.7610 hourly"
"C5N Metal","c5n.metal","192.0 GiB","72 vCPUs","EBS only","100 Gigabit","$3.8880 hourly","$2.4490 hourly","$1.1730 hourly","$7.2000 hourly","$5.7610 hourly"
"M5 General Purpose 16xlarge","m5d.16xlarge","256.0 GiB","64 vCPUs","2400 GB                 (4 * 600 GB NVMe SSD)","20 Gigabit","$3.9040 hourly","$2.4600 hourly","$1.2962 hourly","$6.8480 hourly","$5.4040 hourly"
"R5AD 24xlarge","r5ad.24xlarge","768.0 GiB","96 vCPUs","3600 GB                 (4 * 900 GB NVMe SSD)","20 Gigabit","$3.9860 hourly","$2.5110 hourly","$1.2963 hourly","$8.4020 hourly","$6.9270 hourly"
"C5 High-CPU Metal","c5.metal","192.0 GiB","96 vCPUs","EBS only","25 Gigabit","$4.0800 hourly","$2.5700 hourly","$1.2371 hourly","$8.4960 hourly","$6.9860 hourly"
"C5 High-CPU 24xlarge","c5.24xlarge","192.0 GiB","96 vCPUs","EBS only","25 Gigabit","$4.0800 hourly","$2.5700 hourly","$1.2078 hourly","$8.4960 hourly","$6.9860 hourly"
"C6I 24xlarge","c6i.24xlarge","192.0 GiB","96 vCPUs","EBS only","37.5 Gigabit","$4.0800 hourly","$2.7014 hourly","$1.4027 hourly","$8.4960 hourly","$7.1174 hourly"
"M6ID 16xlarge","m6id.16xlarge","256.0 GiB","64 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","25 Gigabit","$4.0992 hourly","$2.5825 hourly","$1.3229 hourly","$7.0432 hourly","$5.5265 hourly"
"R6I 16xlarge","r6i.16xlarge","512.0 GiB","64 vCPUs","EBS only","25 Gigabit","$4.1600 hourly","$2.7342 hourly","$1.3588 hourly","$7.1040 hourly","$5.6782 hourly"
"R5 16xlarge","r5.16xlarge","512.0 GiB","64 vCPUs","EBS only","20 Gigabit","$4.1600 hourly","$2.6080 hourly","$1.3102 hourly","$7.1040 hourly","$5.5520 hourly"
"D3 Eight Extra Large","d3.8xlarge","256.0 GiB","32 vCPUs","47520 GB                 (24 * 1980 GB NVMe HDD)","25 Gigabit","$4.1890 hourly","$2.6391 hourly","$1.2580 hourly","$5.6610 hourly","$4.1111 hourly"
"C7I Metal-24xl","c7i.metal-24xl","192.0 GiB","96 vCPUs","EBS only","37.5 Gigabit","$4.2840 hourly","$2.8365 hourly","$1.4492 hourly","$8.7000 hourly","$7.2525 hourly"
"C7I 24xlarge","c7i.24xlarge","192.0 GiB","96 vCPUs","EBS only","37.5 Gigabit","$4.2840 hourly","$2.8365 hourly","$1.2971 hourly","$8.7000 hourly","$7.2525 hourly"
"G4DN 12xlarge","g4dn.12xlarge","192.0 GiB","48 vCPUs","900 GB                 NVMe SSD","50 Gigabit","$4.3060 hourly","$2.7130 hourly","$1.5155 hourly","$6.5140 hourly","$4.9210 hourly"
"R7I 16xlarge","r7i.16xlarge","512.0 GiB","64 vCPUs","EBS only","25 Gigabit","$4.3680 hourly","$2.8709 hourly","$1.3874 hourly","$7.3120 hourly","$5.8149 hourly"
"R4 High-Memory 16xlarge","r4.16xlarge","488.0 GiB","64 vCPUs","EBS only","25 Gigabit","$4.3840 hourly","$2.7558 hourly","$1.3328 hourly","$7.3280 hourly","$5.6998 hourly"
"C6A 48xlarge","c6a.48xlarge","384.0 GiB","192 vCPUs","EBS only","50 Gigabit","$4.4880 hourly","$2.9716 hourly","$1.4795 hourly","$13.3200 hourly","$11.8036 hourly"
"C6A Metal","c6a.metal","384.0 GiB","192 vCPUs","EBS only","50 Gigabit","$4.4880 hourly","$2.9716 hourly","$1.6170 hourly","$13.3200 hourly","$11.8036 hourly"
"R6A 32xlarge","r6a.32xlarge","1024.0 GiB","128 vCPUs","EBS only","50 Gigabit","$4.5760 hourly","$3.0073 hourly","$1.5475 hourly","$10.4640 hourly","$8.8953 hourly"
"I4I 12xlarge","i4i.12xlarge","384.0 GiB","48 vCPUs","11250 GB                 (3 * 3750 GB NVMe SSD)","28.12 Gigabit","$4.6730 hourly","$3.0430 hourly","$1.3656 hourly","$6.8810 hourly","$5.2510 hourly"
"Z1D Metal","z1d.metal","384.0 GiB","48 vCPUs","1800 GB                 (2 * 900 GB NVMe SSD)","25 Gigabit","$4.7040 hourly","$2.9640 hourly","$1.6205 hourly","$6.9120 hourly","$5.1720 hourly"
"Z1D 12xlarge","z1d.12xlarge","384.0 GiB","48 vCPUs","1800 GB                 (2 * 900 GB NVMe SSD)","25 Gigabit","$4.7040 hourly","$2.9640 hourly","$1.3781 hourly","$6.9120 hourly","$5.1720 hourly"
"C5 High-CPU 24xlarge","c5d.24xlarge","192.0 GiB","96 vCPUs","3600 GB                 (4 * 900 GB NVMe SSD)","25 Gigabit","$4.7520 hourly","$2.9940 hourly","$1.5455 hourly","$9.1680 hourly","$7.4100 hourly"
"C5 High-CPU Metal","c5d.metal","192.0 GiB","96 vCPUs","3600 GB                 (4 * 900 GB NVMe SSD)","25 Gigabit","$4.7520 hourly","$2.9940 hourly","$1.4765 hourly","$9.1680 hourly","$7.4100 hourly"
"G4DN 16xlarge","g4dn.16xlarge","256.0 GiB","64 vCPUs","900 GB                 NVMe SSD","50 Gigabit","$4.7910 hourly","$3.0180 hourly","$1.3239 hourly","$7.7350 hourly","$5.9620 hourly"
"R5D 16xlarge","r5d.16xlarge","512.0 GiB","64 vCPUs","2400 GB                 (4 * 600 GB NVMe SSD)","20 Gigabit","$4.8320 hourly","$3.0440 hourly","$1.4995 hourly","$7.7760 hourly","$5.9880 hourly"
"M5 General Purpose 24xlarge","m5.24xlarge","384.0 GiB","96 vCPUs","EBS only","25 Gigabit","$4.8480 hourly","$3.0540 hourly","$1.4403 hourly","$9.2640 hourly","$7.4700 hourly"
"M6I 24xlarge","m6i.24xlarge","384.0 GiB","96 vCPUs","EBS only","37.5 Gigabit","$4.8480 hourly","$3.2017 hourly","$1.4316 hourly","$9.2640 hourly","$7.6177 hourly"
"M5 General Purpose Metal","m5.metal","384.0 GiB","96 vCPUs","EBS only","25 Gigabit","$4.8480 hourly","$3.0540 hourly","$1.4813 hourly","$9.2640 hourly","$7.4700 hourly"
"R5N 16xlarge","r5n.16xlarge","512.0 GiB","64 vCPUs","EBS only","75 Gigabit","$4.8960 hourly","$3.0840 hourly","$1.5633 hourly","$7.8400 hourly","$6.0280 hourly"
"G5 Graphics and Machine Learning GPU 16xlarge","g5.16xlarge","256.0 GiB","64 vCPUs","1900 GB                 NVMe SSD","25 Gigabit","$4.9185 hourly","$3.0986 hourly","$1.5067 hourly","$7.8625 hourly","$6.0426 hourly"
"INF1 24xlarge","inf1.24xlarge","192.0 GiB","96 vCPUs","EBS only","100 Gigabit","$4.9650 hourly","$3.1280 hourly","$1.5604 hourly","unavailable","unavailable"
"R6ID 16xlarge","r6id.16xlarge","512.0 GiB","64 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","25 Gigabit","$5.0752 hourly","$3.1974 hourly","$1.5615 hourly","$8.0192 hourly","$6.1414 hourly"
"M7I Metal-24xl","m7i.metal-24xl","384.0 GiB","96 vCPUs","EBS only","37.5 Gigabit","$5.0904 hourly","$3.3617 hourly","$1.6142 hourly","$9.5064 hourly","$7.7777 hourly"
"M7I 24xlarge","m7i.24xlarge","384.0 GiB","96 vCPUs","EBS only","37.5 Gigabit","$5.0904 hourly","$3.3617 hourly","$1.3778 hourly","$9.5064 hourly","$7.7777 hourly"
"IS4GEN Eight Extra Large","is4gen.8xlarge","192.0 GiB","32 vCPUs","30000 GB                 (4 * 7500 GB NVMe SSD)","50 Gigabit","$5.2400 hourly","$3.5784 hourly","unavailable","unavailable","unavailable"
"M6A 48xlarge","m6a.48xlarge","768.0 GiB","192 vCPUs","EBS only","50 Gigabit","$5.3328 hourly","$3.5218 hourly","$1.6687 hourly","$14.1648 hourly","$12.3538 hourly"
"M6A Metal","m6a.metal","768.0 GiB","192 vCPUs","EBS only","50 Gigabit","$5.3328 hourly","$3.5218 hourly","$1.8647 hourly","$14.1648 hourly","$12.3538 hourly"
"C6I 32xlarge","c6i.32xlarge","256.0 GiB","128 vCPUs","EBS only","50 Gigabit","$5.4400 hourly","$3.6019 hourly","$1.7659 hourly","$11.3280 hourly","$9.4899 hourly"
"C6I Metal","c6i.metal","256.0 GiB","128 vCPUs","EBS only","50 Gigabit","$5.4400 hourly","$3.6019 hourly","$1.7466 hourly","$11.3280 hourly","$9.4899 hourly"
"C6IN 24xlarge","c6in.24xlarge","192.0 GiB","96 vCPUs","EBS only","150 Gigabit","$5.4432 hourly","$3.4292 hourly","$1.6191 hourly","$9.8592 hourly","$7.8452 hourly"
"I3 High I/O 16xlarge","i3.16xlarge","488.0 GiB","64 vCPUs","15200 GB                 (8 * 1900 GB NVMe SSD)","25 Gigabit","$5.6640 hourly","$3.8980 hourly","$1.7713 hourly","$8.6080 hourly","$6.8420 hourly"
"I3 High I/O Metal","i3.metal","512.0 GiB","72 vCPUs","15200 GB                 (8 * 1900 GB NVMe SSD)","25 Gigabit","$5.6640 hourly","$3.8980 hourly","$1.7004 hourly","$8.6080 hourly","$6.8420 hourly"
"M5 General Purpose 24xlarge","m5d.24xlarge","384.0 GiB","96 vCPUs","3600 GB                 (4 * 900 GB NVMe SSD)","25 Gigabit","$5.8560 hourly","$3.6890 hourly","$1.6346 hourly","$10.2720 hourly","$8.1050 hourly"
"M5 General Purpose Metal","m5d.metal","384.0 GiB","96 vCPUs","3600 GB                 (4 * 900 GB NVMe SSD)","25 Gigabit","$5.8560 hourly","$3.6890 hourly","$1.7332 hourly","$10.2720 hourly","$8.1050 hourly"
"M6ID 24xlarge","m6id.24xlarge","384.0 GiB","96 vCPUs","5700 GB                 (4 * 1425 GB NVMe SSD)","37.5 Gigabit","$6.1488 hourly","$3.8737 hourly","$1.7919 hourly","$10.5648 hourly","$8.2897 hourly"
"I3EN 12xlarge","i3en.12xlarge","384.0 GiB","48 vCPUs","30000 GB                 (4 * 7500 GB NVMe SSD)","50 Gigabit","$6.1680 hourly","$4.2090 hourly","$1.7421 hourly","$8.3760 hourly","$6.4170 hourly"
"I4I 16xlarge","i4i.16xlarge","512.0 GiB","64 vCPUs","15000 GB                 (4 * 3750 GB NVMe SSD)","37.5 Gigabit","$6.2300 hourly","$4.0570 hourly","$1.7162 hourly","$9.1740 hourly","$7.0010 hourly"
"R5 Metal","r5.metal","768.0 GiB","96 vCPUs","EBS only","25 Gigabit","$6.2400 hourly","$3.9120 hourly","$1.9674 hourly","$10.6560 hourly","$8.3280 hourly"
"R5 24xlarge","r5.24xlarge","768.0 GiB","96 vCPUs","EBS only","25 Gigabit","$6.2400 hourly","$3.9120 hourly","$1.8007 hourly","$10.6560 hourly","$8.3280 hourly"
"R6I 24xlarge","r6i.24xlarge","768.0 GiB","96 vCPUs","EBS only","37.5 Gigabit","$6.2400 hourly","$4.1013 hourly","$1.8641 hourly","$10.6560 hourly","$8.5173 hourly"
"M6I 32xlarge","m6i.32xlarge","512.0 GiB","128 vCPUs","EBS only","50 Gigabit","$6.4640 hourly","$4.2689 hourly","$1.5521 hourly","$12.3520 hourly","$10.1569 hourly"
"M6I Metal","m6i.metal","512.0 GiB","128 vCPUs","EBS only","50 Gigabit","$6.4640 hourly","$4.2689 hourly","$1.8370 hourly","$12.3520 hourly","$10.1569 hourly"
"R7I Metal-24xl","r7i.metal-24xl","768.0 GiB","96 vCPUs","EBS only","37.5 Gigabit","$6.5520 hourly","$4.3064 hourly","$2.1216 hourly","$10.9680 hourly","$8.7224 hourly"
"R7I 24xlarge","r7i.24xlarge","768.0 GiB","96 vCPUs","EBS only","37.5 Gigabit","$6.5520 hourly","$4.3064 hourly","$1.8586 hourly","$10.9680 hourly","$8.7224 hourly"
"D2 Eight Extra Large","d2.8xlarge","244.0 GiB","36 vCPUs","49152 GB                 (24 * 2048 GB HDD)","10 Gigabit","$6.6120 hourly","$3.8980 hourly","$2.4589 hourly","$8.2680 hourly","$5.5540 hourly"
"G5 Graphics and Machine Learning GPU 12xlarge","g5.12xlarge","192.0 GiB","48 vCPUs","3800 GB                 NVMe SSD","40 Gigabit","$6.8109 hourly","$4.2909 hourly","$2.1745 hourly","$9.0189 hourly","$6.4989 hourly"
"R6A 48xlarge","r6a.48xlarge","1536.0 GiB","192 vCPUs","EBS only","50 Gigabit","$6.8640 hourly","$4.5110 hourly","$2.1248 hourly","$15.6960 hourly","$13.3430 hourly"
"R6A Metal","r6a.metal","1536.0 GiB","192 vCPUs","EBS only","50 Gigabit","$6.8640 hourly","$4.5110 hourly","$1.9351 hourly","$15.6960 hourly","$13.3430 hourly"
"X1E Eight Extra Large","x1e.8xlarge","976.0 GiB","32 vCPUs","960 GB                 SSD","Up to 10 Gigabit","$6.8800 hourly","$4.2070 hourly","$2.1064 hourly","$8.3520 hourly","$5.6790 hourly"
"X1 Extra High-Memory 16xlarge","x1.16xlarge","976.0 GiB","64 vCPUs","1920 GB                 SSD","10 Gigabit","$6.8810 hourly","$4.2080 hourly","$1.2395 hourly","$9.8250 hourly","$7.1520 hourly"
"X2IEDN Eight Extra Large","x2iedn.8xlarge","1024.0 GiB","32 vCPUs","950 GB                 NVMe SSD","25 Gigabit","$6.8810 hourly","$4.2339 hourly","$2.0736 hourly","$8.3530 hourly","$5.7059 hourly"
