"Name","API Name","Memory","Storage","vCPUs","Network Performance","PostgreSQL","PostgreSQL Reserved Cost","MySQL On Demand Cost","MySQL Reserved Cost","SQL Server Express On Demand Cost","SQL Server Express Reserved Cost","SQL Server Web On Demand Cost","SQL Server Web Reserved Cost","SQL Server Standard On Demand Cost","SQL Server Standard Reserved Cost","SQL Server Enterprise On Demand Cost","SQL Server Enterprise Reserved Cost","Aurora Postgres & MySQL On Demand Cost","Aurora Postgres & MySQL Reserved Cost","Aurora I/O Optimized On Demand Cost","MariaDB On Demand Cost","MariaDB Reserved Cost","Oracle Enterprise On Demand Cost","Oracle Enterprise Reserved Cost"
"R5 Eight Extra Large","db.r5.8xlarge.tpc2.mem3x","768 GiB","0 GiB (EBS only)","32 vCPUs","25 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$12.6240 hourly","$8.6159 hourly"
"X2IDN 16xlarge","db.x2idn.16xlarge","1024 GiB","1 x 1900 NVMe SSD","64 vCPUs","50 Gbps","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$11.5600 hourly","$8.3232 hourly"
"X1E Eight Extra Large","db.x1e.8xlarge","976 GiB","1 x 960 SSD","32 vCPUs","Up to 10 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable"
"X1E 32xlarge","db.x1e.32xlarge","3904 GiB","2 x 1920 SSD","128 vCPUs","25 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable"
"X1E 16xlarge","db.x1e.16xlarge","1952 GiB","1 x 1920 SSD","64 vCPUs","Up to 10 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable"
"R5 Large","db.r5.large.tpc1.mem2x","32 GiB","0 GiB (EBS only)","2 vCPUs","Up to 10 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$0.5260 hourly","$0.3590 hourly"
"Z1D Extra Large","db.z1d.xlarge","32 GiB","1 x 150 NVMe SSD","4 vCPUs","Up to 10,000 Mbps","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$1.1270 hourly","$0.9467 hourly","$1.7420 hourly","$1.6466 hourly","$2.6990 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$0.7930 hourly","$0.5413 hourly"
"R5B Large","db.r5b.large.tpc1.mem2x","32 GiB","0 GiB (EBS only)","2 vCPUs","Up to 10 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable"
"R5 12xlarge","db.r5.12xlarge.tpc2.mem2x","768 GiB","0 GiB (EBS only)","48 vCPUs","25 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$12.6240 hourly","$8.6159 hourly"
"R5B Double Extra Large","db.r5b.2xlarge.tpc1.mem2x","128 GiB","0 GiB (EBS only)","8 vCPUs","Up to 10 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable"
"X2IEZN Eight Extra Large","db.x2iezn.8xlarge","1024 GiB","0 GiB (EBS only)","32 vCPUs","75 Gbps","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable"
"R5B Extra Large","db.r5b.xlarge.tpc2.mem2x","64 GiB","0 GiB (EBS only)","4 vCPUs","Up to 10 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable"
"R5 Extra Large","db.r5.xlarge.tpc2.mem4x","128 GiB","0 GiB (EBS only)","4 vCPUs","Up to 10 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$2.1040 hourly","$1.4360 hourly"
"R5 Quadruple Extra Large","db.r5.4xlarge.tpc2.mem4x","512 GiB","0 GiB (EBS only)","16 vCPUs","20 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$8.4160 hourly","$5.7439 hourly"
"Z1D Double Extra Large","db.z1d.2xlarge","64 GiB","1 x 300 NVMe SSD","8 vCPUs","Up to 10,000 Mbps","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$2.2520 hourly","$1.8919 hourly","$3.4850 hourly","$3.2931 hourly","$5.3980 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$1.5861 hourly","$1.0825 hourly"
"Z1D 3xlarge","db.z1d.3xlarge","96 GiB","1 x 450 NVMe SSD","12 vCPUs","Up to 10,000 Mbps","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$3.3790 hourly","$2.8386 hourly","$5.2270 hourly","$4.9397 hourly","$8.0960 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$2.3791 hourly","$1.6238 hourly"
"R5B Extra Large","db.r5b.xlarge.tpc2.mem4x","128 GiB","0 GiB (EBS only)","4 vCPUs","Up to 10 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable"
"R5B Eight Extra Large","db.r5b.8xlarge.tpc2.mem3x","768 GiB","0 GiB (EBS only)","32 vCPUs","25 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable"
"X1 32xlarge","db.x1.32xlarge","1952 GiB","2 x 1920 SSD","128 vCPUs","25 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$57.7670 hourly","$54.5893 hourly","$98.0930 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$30.8736 hourly","unavailable"
"X1E Extra Large","db.x1e.xlarge","122 GiB","1 x 120 SSD","4 vCPUs","Up to 10 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable"
"R5B 6xlarge","db.r5b.6xlarge.tpc2.mem4x","768 GiB","0 GiB (EBS only)","24 vCPUs","25 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable"
"X2IEZN Double Extra Large","db.x2iezn.2xlarge","256 GiB","0 GiB (EBS only)","8 vCPUs","Up to 25 Gbps","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable"
"X2IEZN Quadruple Extra Large","db.x2iezn.4xlarge","512 GiB","0 GiB (EBS only)","16 vCPUs","Up to 25 Gbps","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable"
"X2IEZN 12xlarge","db.x2iezn.12xlarge","1536 GiB","0 GiB (EBS only)","48 vCPUs","100 Gbps","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable"
"R5B 12xlarge","db.r5b.12xlarge.tpc2.mem2x","768 GiB","0 GiB (EBS only)","48 vCPUs","25 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable"
