"Name","API Name","Memory","Storage","vCPUs","Network Performance","PostgreSQL","PostgreSQL Reserved Cost","MySQL On Demand Cost","MySQL Reserved Cost","SQL Server Express On Demand Cost","SQL Server Express Reserved Cost","SQL Server Web On Demand Cost","SQL Server Web Reserved Cost","SQL Server Standard On Demand Cost","SQL Server Standard Reserved Cost","SQL Server Enterprise On Demand Cost","SQL Server Enterprise Reserved Cost","Aurora Postgres & MySQL On Demand Cost","Aurora Postgres & MySQL Reserved Cost","Aurora I/O Optimized On Demand Cost","MariaDB On Demand Cost","MariaDB Reserved Cost","Oracle Enterprise On Demand Cost","Oracle Enterprise Reserved Cost"
"R7G Double Extra Large","db.r7g.2xlarge","64 GiB","0 GiB (EBS only)","8 vCPUs","Up to 15 Gigabit","$1.0880 hourly","$0.8378 hourly","$1.0880 hourly","$0.8378 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$1.0880 hourly","$0.8378 hourly","unavailable","unavailable"
"R3 Memory Optimized Double Extra Large","db.r3.2xlarge","61 GiB","1 x 160 SSD","8 vCPUs","High","$1.1350 hourly","unavailable","$1.0780 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$1.0780 hourly","unavailable","$1.0780 hourly","unavailable"
"R6I Double Extra Large","db.r6i.2xlarge","64 GiB","0 GiB (EBS only)","8 vCPUs","Up to 12.5 Gbps","$1.1400 hourly","$0.7780 hourly","$1.0800 hourly","$0.7360 hourly","unavailable","unavailable","$1.6020 hourly","$1.3457 hourly","$2.8720 hourly","$2.7140 hourly","$5.1160 hourly","$5.1032 hourly","$1.3200 hourly","$0.8680 hourly","$1.7160 hourly","$1.0800 hourly","$0.7360 hourly","$1.0520 hourly","$0.7603 hourly"
"R5 Double Extra Large","db.r5.2xlarge","64 GiB","0 GiB (EBS only)","8 vCPUs","Up to 10 Gigabit","$1.1400 hourly","$0.7781 hourly","$1.0800 hourly","$0.7360 hourly","unavailable","unavailable","$1.6020 hourly","$1.3457 hourly","$2.8720 hourly","$2.7140 hourly","$5.1160 hourly","$5.1032 hourly","$1.3200 hourly","$0.8690 hourly","$1.7160 hourly","$1.0800 hourly","$0.7360 hourly","$1.0520 hourly","$0.7180 hourly"
"R4 Memory Optimized Double Extra Large","db.r4.2xlarge","61 GiB","0 GiB (EBS only)","8 vCPUs","Up to 10 Gigabit","$1.1400 hourly","unavailable","$1.0800 hourly","unavailable","unavailable","unavailable","$1.6020 hourly","unavailable","$2.8720 hourly","unavailable","$5.1160 hourly","unavailable","$1.3200 hourly","unavailable","unavailable","$1.0800 hourly","unavailable","$1.0800 hourly","unavailable"
"R6GD Double Extra Large","db.r6gd.2xlarge","64 GiB","1 x 475 NVMe SSD","8 vCPUs","Up to 10 Gigabit","$1.1770 hourly","$0.9061 hourly","$1.1770 hourly","$0.9061 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$1.4160 hourly","$1.0903 hourly","$1.8410 hourly","$1.1770 hourly","unavailable","unavailable","unavailable"
"M5D Double Extra Large","db.m5d.2xlarge","32 GiB","1 x 300 NVMe SSD","8 vCPUs","Up to 10 Gbps","$1.2220 hourly","$0.9413 hourly","$1.2220 hourly","$0.9413 hourly","unavailable","unavailable","$1.2390 hourly","$0.8454 hourly","$2.6330 hourly","$2.0736 hourly","$4.8200 hourly","$4.6754 hourly","unavailable","unavailable","unavailable","$1.2220 hourly","unavailable","$1.1350 hourly","$0.8179 hourly"
"R5D Double Extra Large","db.r5d.2xlarge","64 GiB","1 x 300 NVMe SSD","8 vCPUs","Up to 10 Gbps","$1.3240 hourly","$1.0196 hourly","$1.3240 hourly","$1.0196 hourly","unavailable","unavailable","$1.9370 hourly","$1.6273 hourly","$3.1880 hourly","$3.0125 hourly","$5.1640 hourly","$5.1507 hourly","unavailable","unavailable","unavailable","$1.3240 hourly","unavailable","$1.2020 hourly","$0.8640 hourly"
"M6G Quadruple Extra Large","db.m6g.4xlarge","64 GiB","0 GiB (EBS only)","16 vCPUs","Up to 10 Gigabit","$1.8080 hourly","$1.1577 hourly","$1.7140 hourly","$1.0980 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$1.7140 hourly","$1.0980 hourly","unavailable","unavailable"
"M7G Quadruple Extra Large","db.m7g.4xlarge","64 GiB","0 GiB (EBS only)","16 vCPUs","Up to 15 Gigabit","$1.9160 hourly","$1.4753 hourly","$1.9160 hourly","$1.4753 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$1.9160 hourly","$1.4753 hourly","unavailable","unavailable"
"M6I Quadruple Extra Large","db.m6i.4xlarge","64 GiB","0 GiB (EBS only)","16 vCPUs","Up to 12.5 Gbps","$2.0240 hourly","$1.2960 hourly","$1.9280 hourly","$1.2352 hourly","unavailable","unavailable","$2.9460 hourly","$2.3720 hourly","$5.5570 hourly","$4.9640 hourly","$9.5730 hourly","$9.1120 hourly","unavailable","unavailable","unavailable","$1.9280 hourly","$1.2352 hourly","$1.9280 hourly","$1.3824 hourly"
"M5 Quadruple Extra Large","db.m5.4xlarge","64 GiB","0 GiB (EBS only)","16 vCPUs","Up to 10 Gigabit","$2.0240 hourly","$1.2964 hourly","$1.9280 hourly","$1.2349 hourly","unavailable","unavailable","$2.9460 hourly","$2.3720 hourly","$5.5570 hourly","$4.9640 hourly","$9.5730 hourly","$9.1120 hourly","unavailable","unavailable","unavailable","$1.9280 hourly","$1.2349 hourly","$1.9280 hourly","$1.2019 hourly"
"R6G Quadruple Extra Large","db.r6g.4xlarge","128 GiB","0 GiB (EBS only)","16 vCPUs","Up to 10 Gigabit","$2.0500 hourly","$1.3992 hourly","$1.9330 hourly","$1.3174 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$2.3630 hourly","$1.5537 hourly","$3.0720 hourly","$1.9330 hourly","$1.3174 hourly","unavailable","unavailable"
"M4 General Purpose Quadruple Extra Large","db.m4.4xlarge","64 GiB","0 GiB (EBS only)","16 vCPUs","High","$2.0600 hourly","unavailable","$1.9750 hourly","unavailable","unavailable","unavailable","$2.9460 hourly","unavailable","$5.5570 hourly","unavailable","$9.5730 hourly","unavailable","unavailable","unavailable","unavailable","$1.9750 hourly","unavailable","$1.9750 hourly","unavailable"
"M6GD Quadruple Extra Large","db.m6gd.4xlarge","64 GiB","1 x 950 NVMe SSD","16 vCPUs","Up to 10 Gigabit","$2.1580 hourly","$1.6618 hourly","$2.1580 hourly","$1.6618 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$2.1580 hourly","unavailable","unavailable","unavailable"
"R7G Quadruple Extra Large","db.r7g.4xlarge","128 GiB","0 GiB (EBS only)","16 vCPUs","Up to 15 Gigabit","$2.1760 hourly","$1.6755 hourly","$2.1760 hourly","$1.6755 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$2.1760 hourly","$1.6755 hourly","unavailable","unavailable"
"R3 Memory Optimized Quadruple Extra Large","db.r3.4xlarge","122 GiB","1 x 320 SSD","16 vCPUs","High","$2.2700 hourly","unavailable","$2.1560 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$2.1560 hourly","unavailable","$2.1560 hourly","unavailable"
"R6I Quadruple Extra Large","db.r6i.4xlarge","128 GiB","0 GiB (EBS only)","16 vCPUs","Up to 12.5 Gbps","$2.2800 hourly","$1.5560 hourly","$2.1600 hourly","$1.4720 hourly","unavailable","unavailable","$3.2040 hourly","$2.6914 hourly","$5.7440 hourly","$5.4281 hourly","$10.2320 hourly","$10.2064 hourly","$2.6400 hourly","$1.7360 hourly","$3.4320 hourly","$2.1600 hourly","$1.4720 hourly","$2.1040 hourly","$1.5206 hourly"
"R5 Quadruple Extra Large","db.r5.4xlarge","128 GiB","0 GiB (EBS only)","16 vCPUs","Up to 10 Gigabit","$2.2800 hourly","$1.5561 hourly","$2.1600 hourly","$1.4720 hourly","unavailable","unavailable","$3.2040 hourly","$2.6914 hourly","$5.7440 hourly","$5.4281 hourly","$10.2320 hourly","$10.2064 hourly","$2.6400 hourly","$1.7370 hourly","$3.4320 hourly","$2.1600 hourly","$1.4720 hourly","$2.1040 hourly","$1.4360 hourly"
"R4 Memory Optimized Quadruple Extra Large","db.r4.4xlarge","122 GiB","0 GiB (EBS only)","16 vCPUs","Up to 10 Gigabit","$2.2800 hourly","unavailable","$2.1600 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","$5.7440 hourly","unavailable","$10.2320 hourly","unavailable","$2.6400 hourly","unavailable","unavailable","$2.1600 hourly","unavailable","$2.1600 hourly","unavailable"
"R6GD Quadruple Extra Large","db.r6gd.4xlarge","128 GiB","1 x 950 NVMe SSD","16 vCPUs","Up to 10 Gigabit","$2.3540 hourly","$1.8123 hourly","$2.3540 hourly","$1.8123 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$2.8320 hourly","$2.1806 hourly","$3.6820 hourly","$2.3540 hourly","unavailable","unavailable","unavailable"
"M5D Quadruple Extra Large","db.m5d.4xlarge","64 GiB","2 x 300 NVMe SSD","16 vCPUs","Up to 10 Gbps","$2.4450 hourly","$1.8825 hourly","$2.4450 hourly","$1.8825 hourly","unavailable","unavailable","$2.4780 hourly","$1.6909 hourly","$5.2660 hourly","$4.1473 hourly","$9.6400 hourly","$9.3508 hourly","unavailable","unavailable","unavailable","$2.4450 hourly","unavailable","$2.2690 hourly","$1.6358 hourly"
"R5D Quadruple Extra Large","db.r5d.4xlarge","128 GiB","2 x 300 NVMe SSD","16 vCPUs","Up to 10 Gbps","$2.6480 hourly","$2.0392 hourly","$2.6480 hourly","$2.0392 hourly","unavailable","unavailable","$3.8750 hourly","$3.2546 hourly","$6.3760 hourly","$6.0249 hourly","$10.3270 hourly","$10.3014 hourly","unavailable","unavailable","unavailable","$2.6480 hourly","unavailable","$2.4050 hourly","$1.7280 hourly"
"M6G Eight Extra Large","db.m6g.8xlarge","128 GiB","0 GiB (EBS only)","32 vCPUs","10 Gigabit","$3.6160 hourly","$2.3153 hourly","$3.4280 hourly","$2.1959 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$3.4280 hourly","$2.1959 hourly","unavailable","unavailable"
